project_name,url
LiquidFeedback,https://liquidfeedback.com
AlgorithmWatch,https://algorithmwatch.org
Decidim,https://decidim.org
mySociety Datasets and APIs,https://data.mysociety.org
Ethelo,https://ethelo.com
Open Council Network,https://opencouncil.network
Open Data Editor (ODE),https://okfn.org/en/projects/open-data-editor/
Open Digital Planning,https://opendigitalplanning.org/
Open Supply Hub,https://opensupplyhub.org
OpenCRVS,https://www.opencrvs.org
Agencies for Good,https://www.agenciesforgood.org
Alaveteli,https://alaveteli.org
Aragon,https://aragon.org
Bellingcat Online Investigation Toolkit,https://bellingcat.gitbook.io/toolkit
Bonfire,https://bonfirenetworks.org
CONSUL Democracy,https://consulproject.org
Contracts for Data Collaboration,https://contractsfordatacollaboration.org
Cybersecurity for Democracy,https://cybersecurityfordemocracy.org
DISARM Frameworks,https://github.com/disarmfoundation/disarmframeworks
Fundación Ciudadanía Inteligente,https://ciudadaniai.org
Gapminder Worldview Upgrader,https://upgrader.gapminder.org
Humble Data Workshop,https://humbledata.org
Interoperable Deliberative Tools,https://metagov.org/projects/interop
Journalist Studio,https://journaliststudio.google.com
Martus,https://www.martus.org
Mastodon,https://github.com/mastodon/mastodon
Matrix,https://matrix.org
Mozilla Data Collective,https://datacollective.mozillafoundation.org
ODK (Open Data Kit),https://getodk.org
Open Contracting Partnership,https://www.open-contracting.org
Open Heart Mind (OHM),https://openheartmind.org
Polis,https://github.com/compdemocracy/polis
Teaching Public Service in the Digital Age,https://www.teachingpublicservice.digital
The DAO (Standard DAO Framework),https://github.com/vbuterin/dao
Ushahidi,https://www.ushahidi.com
Who Targets Me Trends,https://trends.whotargets.me
